,日期,自營商,投信,外資,資餘,資增減,券餘,券增減,使用率,券資比,資券抵,開盤價,最高價,最低價,收盤價,漲跌,漲%,成交量,成交金額,本益比
0,107/05/07,0,12,0,3,0 7,0,0 5,0.18%,0.00%,0,34.5,34.66,34.25,34.52,0.37,1.08%,127,4368,0
1,107/05/04,0,-3,0,3,0 6,0,0 3,0.18%,0.00%,0,34.01,34.15,33.96,34.15,0.15,0.44%,115,3916,0
2,107/05/03,0,-8,0,3,0 3,0,0 8,0.18%,0.00%,0,34.24,34.24,33.99,34.0,-0.62,-1.79%,10,341,0
3,107/05/02,0,-1,0,3,0 0,0,0 8,0.18%,0.00%,0,34.46,34.62,34.46,34.62,0.1,0.29%,4,138,0
4,107/04/30,0,0,0,3,0 8,0,0 7,0.18%,0.00%,0,34.2,34.52,34.2,34.52,0.32,0.94%,24,824,0
5,107/04/30,0,0,0,3,0 7,0,0 5,0.18%,0.00%,0,34.2,34.52,34.2,34.52,0.32,0.94%,24,824,0
8,107/04/27,0,-5,0,3,0 0,0,0 4,0.18%,0.00%,0,34.38,34.38,34.07,34.2,0.17,0.50%,6,205,0
9,107/04/27,0,-5,0,3,0 6,0,0 3,0.18%,0.00%,0,34.38,34.38,34.07,34.2,0.17,0.50%,6,205,0
12,107/04/26,0,-7,0,3,0 9,0,0 8,0.18%,0.00%,0,34.49,34.49,34.03,34.03,-0.46,-1.33%,11,376,0
13,107/04/26,0,-7,0,3,0 3,0,0 8,0.18%,0.00%,0,34.49,34.49,34.03,34.03,-0.46,-1.33%,11,376,0
16,107/04/25,0,-9,0,3,0 4,0,0 10,0.18%,0.00%,0,34.36,34.49,34.28,34.49,-0.21,-0.61%,10,344,0
17,107/04/25,0,-9,0,3,0 0,0,0 8,0.18%,0.00%,0,34.36,34.49,34.28,34.49,-0.21,-0.61%,10,344,0
20,107/04/24,0,-8,0,3,0 9,0,0 1,0.18%,0.00%,0,34.77,34.77,34.51,34.7,-0.27,-0.77%,11,382,0
21,107/04/24,0,-8,0,3,0 8,0,0 7,0.18%,0.00%,0,34.77,34.77,34.51,34.7,-0.27,-0.77%,11,382,0
24,107/04/23,0,12,0,3,0 9,0,0 4,0.18%,0.00%,0,35.0,35.0,34.97,34.97,-0.33,-0.93%,16,560,0
25,107/04/23,0,12,0,3,0 0,0,0 4,0.18%,0.00%,0,35.0,35.0,34.97,34.97,-0.33,-0.93%,16,560,0
28,107/04/20,0,-16,0,3,0 5,0,0 8,0.18%,0.00%,0,35.41,35.41,35.3,35.3,-0.95,-2.62%,16,566,0
29,107/04/20,0,-16,0,3,0 9,0,0 8,0.18%,0.00%,0,35.41,35.41,35.3,35.3,-0.95,-2.62%,16,566,0
32,107/04/19,0,6,0,3,0 1,0,0 6,0.18%,0.00%,0,36.04,36.25,36.04,36.25,0.31,0.86%,11,397,0
33,107/04/19,0,6,0,3,0 4,0,0 10,0.18%,0.00%,0,36.04,36.25,36.04,36.25,0.31,0.86%,11,397,0
36,107/04/18,0,3,0,3,0 5,0,0 3,0.18%,0.00%,0,35.95,35.95,35.94,35.94,-0.08,-0.22%,7,252,0
37,107/04/18,0,3,0,3,0 9,0,0 1,0.18%,0.00%,0,35.95,35.95,35.94,35.94,-0.08,-0.22%,7,252,0
40,107/04/17,0,-2,0,3,0 6,0,0 6,0.18%,0.00%,0,36.37,36.37,36.02,36.02,-0.18,-0.50%,9,326,0
41,107/04/17,0,-2,0,3,0 9,0,0 4,0.18%,0.00%,0,36.37,36.37,36.02,36.02,-0.18,-0.50%,9,326,0
44,107/04/16,0,5,0,3,0 3,0,0 3,0.18%,0.00%,0,36.21,36.21,36.18,36.2,-0.26,-0.71%,5,181,0
45,107/04/16,0,5,0,3,0 5,0,0 8,0.18%,0.00%,0,36.21,36.21,36.18,36.2,-0.26,-0.71%,5,181,0
48,107/04/13,0,-1,0,3,0 8,0,0 8,0.18%,0.00%,0,36.46,36.46,36.46,36.46,0.19,0.52%,2,73,0
49,107/04/13,0,-1,0,3,0 1,0,0 6,0.18%,0.00%,0,36.46,36.46,36.46,36.46,0.19,0.52%,2,73,0
52,107/04/12,0,-1,0,3,0 6,0,0 10,0.18%,0.00%,0,36.59,36.59,36.27,36.27,-0.31,-0.85%,7,255,0
53,107/04/12,0,-1,0,3,0 5,0,0 3,0.18%,0.00%,0,36.59,36.59,36.27,36.27,-0.31,-0.85%,7,255,0
56,107/04/11,0,-1,0,3,0 9,0,0 2,0.18%,0.00%,0,36.43,36.58,36.43,36.58,0.25,0.69%,3,110,0
57,107/04/11,0,-1,0,3,0 6,0,0 6,0.18%,0.00%,0,36.43,36.58,36.43,36.58,0.25,0.69%,3,110,0
60,107/04/10,0,-6,0,3,0 7,0,0 10,0.18%,0.00%,0,36.35,36.35,36.16,36.33,0.29,0.80%,7,254,0
61,107/04/10,0,-6,0,3,0 3,0,0 3,0.18%,0.00%,0,36.35,36.35,36.16,36.33,0.29,0.80%,7,254,0
64,107/04/09,0,7,0,3,0 2,0,0 5,0.18%,0.00%,0,36.72,36.72,36.04,36.04,0.04,0.11%,42,1527,0
65,107/04/09,0,7,0,3,0 8,0,0 8,0.18%,0.00%,0,36.72,36.72,36.04,36.04,0.04,0.11%,42,1527,0
68,107/04/03,0,-3,0,3,0 6,0,0 10,0.18%,0.00%,0,36.18,36.21,36.0,36.0,-0.62,-1.69%,4,145,0
69,107/04/02,0,0,0,3,0 9,0,0 2,0.18%,0.00%,0,36.62,36.62,36.62,36.62,0.1,0.27%,1,37,0
70,107/03/31,0,2,0,3,0 7,0,0 5,0.18%,0.00%,0,36.54,36.54,36.52,36.52,-0.14,-0.38%,2,73,0
71,107/03/30,0,4,0,3,0 6,0,0 3,0.18%,0.00%,0,36.62,36.66,36.6,36.66,0.3,0.83%,4,147,0
72,107/03/29,0,-1,0,3,0 3,0,0 8,0.18%,0.00%,0,36.36,36.36,36.36,36.36,-0.13,-0.36%,1,36,0
73,107/03/28,0,-1,0,3,0 0,0,0 8,0.18%,0.00%,0,36.42,36.52,36.42,36.49,-0.4,-1.08%,4,146,0
74,107/03/27,0,-1,0,3,0 8,0,0 7,0.18%,0.00%,0,36.92,36.92,36.86,36.89,0.89,2.47%,3,111,0
75,107/03/26,0,7,0,3,0 0,0,0 4,0.18%,0.00%,0,36.07,36.28,36.0,36.0,-0.4,-1.10%,34,1229,0
76,107/03/23,0,-7,0,3,0 9,0,0 8,0.18%,0.00%,0,36.39,36.56,36.39,36.4,-0.71,-1.91%,7,255,0
77,107/03/22,0,3,0,3,0 4,0,0 10,0.18%,0.00%,0,37.21,37.27,36.83,37.11,0.07,0.19%,10,376,0
78,107/03/21,0,39,0,3,0 9,0,0 1,0.17%,0.00%,0,37.35,37.35,36.94,37.04,-0.12,-0.32%,42,1555,0
79,107/03/20,0,1,0,3,0 9,0,0 4,0.17%,0.00%,0,36.84,37.16,36.84,37.16,0.07,0.19%,4,148,0
80,107/03/19,0,12,0,3,0 5,0,0 8,0.17%,0.00%,0,37.0,37.09,37.0,37.09,0.09,0.24%,16,593,0
81,107/03/16,0,1,0,3,0 1,0,0 6,0.17%,0.00%,0,37.1,37.1,37.0,37.0,-0.1,-0.27%,3,111,0
82,107/03/15,0,6,0,3,0 5,0,0 3,0.17%,0.00%,0,37.17,37.17,37.1,37.1,-0.09,-0.24%,7,260,0
83,107/03/14,0,1,0,3,0 6,0,0 6,0.17%,0.00%,0,37.19,37.38,37.19,37.19,-0.19,-0.51%,4,149,0
84,107/03/13,0,0,0,3,0 3,0,0 3,0.17%,0.00%,0,37.45,37.45,37.38,37.38,0.34,0.92%,4,150,0
85,107/03/12,0,11,0,3,0 8,0,0 8,0.17%,0.00%,0,36.83,37.04,36.83,37.04,0.49,1.34%,12,443,0
86,107/03/09,0,35,0,3,0 6,0,0 10,0.17%,0.00%,0,36.56,36.57,36.55,36.55,0.12,0.33%,38,1399,0
87,107/03/08,0,20,0,3,0 9,0,0 2,0.17%,0.00%,0,36.5,36.5,36.28,36.43,0.23,0.64%,21,764,0
88,107/03/07,0,-1,0,3,0 7,0,0 10,0.17%,0.00%,0,36.27,36.27,36.2,36.2,0.12,0.33%,3,109,0
89,107/03/06,0,-1,0,3,0 2,0,0 5,0.17%,0.00%,0,36.13,36.19,36.0,36.08,0.38,1.06%,5,180,0
90,107/03/05,0,-10,0,3,0 1,0,0 10,0.17%,0.00%,0,36.15,36.15,35.7,35.7,0.25,0.71%,16,575,0
91,107/03/01,0,0,0,3,0 7,0,0 0,0.17%,0.00%,0,35.9,35.9,35.9,35.9,-0.36,-0.99%,2,72,0
92,107/02/27,0,-3,0,3,0 7,0,0 5,0.17%,0.00%,0,36.19,36.55,36.19,36.26,0.17,0.47%,7,255,0
93,107/02/26,0,1,0,3,0 6,0,0 3,0.17%,0.00%,0,36.09,36.09,36.09,36.09,0.41,1.15%,3,108,0
94,107/02/23,0,10,0,3,0 3,0,0 8,0.17%,0.00%,0,35.65,35.71,35.63,35.68,0.3,0.85%,13,464,0
95,107/02/22,0,5,0,3,0 0,0,0 8,0.17%,0.00%,0,35.73,35.73,35.38,35.38,-0.22,-0.62%,11,390,0
96,107/02/21,0,1,0,3,0 8,0,0 7,0.17%,0.00%,0,35.2,35.6,35.2,35.6,0.6,1.71%,7,248,0
97,107/02/12,0,1,0,3,0 0,0,0 4,0.17%,0.00%,0,34.69,35.0,34.68,35.0,0.78,2.28%,5,174,0
98,107/02/09,0,-4,0,3,0 9,0,0 8,0.17%,0.00%,0,34.22,34.22,34.22,34.22,-1.17,-3.31%,4,137,0
99,107/02/08,0,-1,0,3,0 4,0,0 10,0.17%,0.00%,0,35.39,35.39,35.39,35.39,-0.17,-0.48%,1,35,0
100,107/02/07,0,6,0,3,0 9,0,0 1,0.17%,0.00%,0,35.86,35.86,35.56,35.56,0.76,2.18%,11,391,0
