,日期,自營商,投信,外資,資餘,資增減,券餘,券增減,使用率,券資比,資券抵,開盤價,最高價,最低價,收盤價,漲跌,漲%,成交量,成交金額,本益比
0,107/05/07,0,10,0,0,0 7,0,0 5,0.00%,-,0,31.96,32.03,31.88,32.0,0.2,0.63%,16,516,0
1,107/05/04,0,1,0,0,0 6,0,0 3,0.00%,-,0,31.87,31.87,31.8,31.8,-0.07,-0.22%,4,127,0
2,107/05/03,0,1,0,0,0 3,0,0 8,0.00%,-,0,31.97,32.03,31.87,31.87,-0.03,-0.09%,3,106,0
3,107/05/02,0,-3,0,0,0 0,0,0 8,0.00%,-,0,32.16,32.17,31.9,31.9,-0.12,-0.37%,12,385,0
4,107/04/30,0,4,0,0,0 8,0,0 7,0.00%,-,0,31.72,32.02,31.72,32.02,-0.09,-0.28%,12,385,0
5,107/04/30,0,4,0,0,0 7,0,0 5,0.00%,-,0,31.72,32.02,31.72,32.02,-0.09,-0.28%,12,385,0
8,107/04/27,0,-10,0,0,0 0,0,0 4,0.00%,-,0,31.91,32.11,31.65,32.11,0.4,1.26%,12,382,0
9,107/04/27,0,-10,0,0,0 6,0,0 3,0.00%,-,0,31.91,32.11,31.65,32.11,0.4,1.26%,12,382,0
12,107/04/26,0,-2,0,0,0 9,0,0 8,0.00%,-,0,32.06,32.15,31.71,31.71,-0.31,-0.97%,21,674,0
13,107/04/26,0,-2,0,0,0 3,0,0 8,0.00%,-,0,32.06,32.15,31.71,31.71,-0.31,-0.97%,21,674,0
16,107/04/25,0,0,0,0,0 4,0,0 10,0.00%,-,0,32.02,32.02,32.02,32.02,-0.42,-1.29%,11,352,0
17,107/04/25,0,0,0,0,0 0,0,0 8,0.00%,-,0,32.02,32.02,32.02,32.02,-0.42,-1.29%,11,352,0
20,107/04/24,0,-6,0,0,0 9,0,0 1,0.00%,-,0,32.6,32.6,32.44,32.44,-0.56,-1.70%,9,308,0
21,107/04/24,0,-6,0,0,0 8,0,0 7,0.00%,-,0,32.6,32.6,32.44,32.44,-0.56,-1.70%,9,308,0
24,107/04/23,0,-1,0,0,0 9,0,0 4,0.00%,-,0,33.02,33.02,33.0,33.0,-0.02,-0.06%,34,1122,0
25,107/04/23,0,-1,0,0,0 0,0,0 4,0.00%,-,0,33.02,33.02,33.0,33.0,-0.02,-0.06%,34,1122,0
28,107/04/20,0,6,0,0,0 5,0,0 8,0.00%,-,0,33.15,33.15,33.02,33.02,-0.13,-0.39%,13,430,0
29,107/04/20,0,6,0,0,0 9,0,0 8,0.00%,-,0,33.15,33.15,33.02,33.02,-0.13,-0.39%,13,430,0
32,107/04/19,0,9,0,0,0 1,0,0 6,0.00%,-,0,33.0,33.15,32.98,33.15,0.4,1.22%,12,396,0
33,107/04/19,0,9,0,0,0 4,0,0 10,0.00%,-,0,33.0,33.15,32.98,33.15,0.4,1.22%,12,396,0
36,107/04/18,0,0,0,0,0 5,0,0 3,0.00%,-,0,33.0,33.0,32.75,32.75,-0.25,-0.76%,5,171,0
37,107/04/18,0,0,0,0,0 9,0,0 1,0.00%,-,0,33.0,33.0,32.75,32.75,-0.25,-0.76%,5,171,0
40,107/04/17,0,-36,0,0,0 6,0,0 6,0.00%,-,0,33.08,33.18,33.0,33.0,-0.18,-0.54%,56,1854,0
41,107/04/17,0,-36,0,0,0 9,0,0 4,0.00%,-,0,33.08,33.18,33.0,33.0,-0.18,-0.54%,56,1854,0
44,107/04/16,0,10,0,0,0 3,0,0 3,0.00%,-,0,32.99,33.21,32.9,33.18,0.25,0.76%,21,700,0
45,107/04/16,0,10,0,0,0 5,0,0 8,0.00%,-,0,32.99,33.21,32.9,33.18,0.25,0.76%,21,700,0
