,日期,自營商,投信,外資,資餘,資增減,券餘,券增減,使用率,券資比,資券抵,開盤價,最高價,最低價,收盤價,漲跌,漲%,成交量,成交金額,本益比
0,107/05/07,0,0,0,0,0 7,0,0 5,0.00%,-,0,41.83,41.9,41.83,41.9,0.07,0.17%,2,84,0.0
1,107/05/04,0,0,0,0,0 6,0,0 3,0.00%,-,0,41.83,41.83,41.83,41.83,-0.03,-0.07%,1,42,0.0
2,107/05/03,0,-2,0,0,0 3,0,0 8,0.00%,-,0,42.1,42.1,41.86,41.86,-0.33,-0.78%,4,168,0.0
3,107/05/02,0,1,0,0,0 0,0,0 8,0.00%,-,0,42.0,42.19,42.0,42.19,0.19,0.45%,2,84,0.0
4,107/04/30,0,-1,0,0,0 8,0,0 7,0.00%,-,0,42.1,42.1,42.0,42.0,0.03,0.07%,2,84,0.0
5,107/04/30,0,-1,0,0,0 7,0,0 5,0.00%,-,0,42.1,42.1,42.0,42.0,0.03,0.07%,2,84,0.0
8,107/04/27,0,0,0,0,0 0,0,0 4,0.00%,-,0,42.0,42.0,41.97,41.97,0.49,1.18%,3,126,0.0
9,107/04/27,0,0,0,0,0 6,0,0 3,0.00%,-,0,42.0,42.0,41.97,41.97,0.49,1.18%,3,126,0.0
12,107/04/26,0,2,0,0,0 9,0,0 8,0.00%,-,0,41.52,41.52,41.48,41.48,-0.1,-0.24%,3,124,0.0
13,107/04/26,0,2,0,0,0 3,0,0 8,0.00%,-,0,41.52,41.52,41.48,41.48,-0.1,-0.24%,3,124,0.0
16,107/04/25,0,-1,0,0,0 4,0,0 10,0.00%,-,0,41.58,41.58,41.58,41.58,-0.12,-0.29%,1,42,0.0
17,107/04/25,0,-1,0,0,0 0,0,0 8,0.00%,-,0,41.58,41.58,41.58,41.58,-0.12,-0.29%,1,42,0.0
20,107/04/24,0,-2,0,0,0 9,0,0 1,0.00%,-,0,41.73,41.73,41.7,41.7,0.14,0.34%,2,83,0.0
21,107/04/24,0,-2,0,0,0 8,0,0 7,0.00%,-,0,41.73,41.73,41.7,41.7,0.14,0.34%,2,83,0.0
24,107/04/23,0,-1,0,0,0 9,0,0 4,0.00%,-,0,41.76,41.76,41.56,41.56,-0.23,-0.55%,51,2120,0.0
25,107/04/23,0,-1,0,0,0 0,0,0 4,0.00%,-,0,41.76,41.76,41.56,41.56,-0.23,-0.55%,51,2120,0.0
28,107/04/19,0,0,0,0,0 1,0,0 6,0.00%,-,0,41.3,41.79,41.3,41.79,0.73,1.78%,6,250,0.0
29,107/04/19,0,0,0,0,0 4,0,0 10,0.00%,-,0,41.3,41.79,41.3,41.79,0.73,1.78%,6,250,0.0
32,107/04/18,0,9,0,0,0 5,0,0 3,0.00%,-,0,41.26,41.26,41.06,41.06,-0.48,-1.16%,11,452,0.0
33,107/04/18,0,9,0,0,0 9,0,0 1,0.00%,-,0,41.26,41.26,41.06,41.06,-0.48,-1.16%,11,452,0.0
36,107/04/17,0,-5,0,0,0 6,0,0 6,0.00%,-,0,41.63,41.63,41.54,41.54,-0.16,-0.38%,5,208,0.0
37,107/04/17,0,-5,0,0,0 9,0,0 4,0.00%,-,0,41.63,41.63,41.54,41.54,-0.16,-0.38%,5,208,0.0
40,107/04/16,0,0,0,0,0 3,0,0 3,0.00%,-,0,41.7,41.7,41.7,41.7,-0.2,-0.48%,1,42,0.0
41,107/04/16,0,0,0,0,0 5,0,0 8,0.00%,-,0,41.7,41.7,41.7,41.7,-0.2,-0.48%,1,42,0.0
44,107/04/13,0,0,0,0,0 8,0,0 8,0.00%,-,0,41.9,41.9,41.9,41.9,0.04,0.10%,1,42,0.0
