,日期,自營商,投信,外資,資餘,資增減,券餘,券增減,使用率,券資比,資券抵,開盤價,最高價,最低價,收盤價,漲跌,漲%,成交量,成交金額,本益比
0,107/05/07,0,2,0,0,0 7,0,0 5,0.00%,-,0,36.98,36.98,36.94,36.94,0.24,0.65%,3,111,0
1,107/05/04,0,-2,0,0,0 6,0,0 3,0.00%,-,0,36.72,36.72,36.7,36.7,-0.12,-0.33%,3,110,0
2,107/05/03,0,-3,0,0,0 3,0,0 8,0.00%,-,0,36.95,36.95,36.64,36.82,-0.36,-0.97%,78,2868,0
3,107/05/02,0,0,0,0,0 0,0,0 8,0.00%,-,0,37.29,37.41,37.18,37.18,-0.06,-0.16%,6,224,0
4,107/04/30,0,2,0,0,0 8,0,0 7,0.00%,-,0,36.91,37.24,36.91,37.24,0.42,1.14%,13,483,0
5,107/04/30,0,2,0,0,0 7,0,0 5,0.00%,-,0,36.91,37.24,36.91,37.24,0.42,1.14%,13,483,0
8,107/04/27,0,-1,0,0,0 0,0,0 4,0.00%,-,0,36.82,36.82,36.82,36.82,0.01,0.03%,1,37,0
9,107/04/27,0,-1,0,0,0 6,0,0 3,0.00%,-,0,36.82,36.82,36.82,36.82,0.01,0.03%,1,37,0
12,107/04/26,0,-5,0,0,0 9,0,0 8,0.00%,-,0,37.05,37.05,36.81,36.81,-0.13,-0.35%,7,259,0
13,107/04/26,0,-5,0,0,0 3,0,0 8,0.00%,-,0,37.05,37.05,36.81,36.81,-0.13,-0.35%,7,259,0
16,107/04/25,0,-3,0,0,0 4,0,0 10,0.00%,-,0,36.96,36.96,36.94,36.94,-0.14,-0.38%,3,111,0
17,107/04/25,0,-3,0,0,0 0,0,0 8,0.00%,-,0,36.96,36.96,36.94,36.94,-0.14,-0.38%,3,111,0
20,107/04/24,0,0,0,0,0 9,0,0 1,0.00%,-,0,37.09,37.09,37.08,37.08,-0.29,-0.78%,20,746,0
21,107/04/24,0,0,0,0,0 8,0,0 7,0.00%,-,0,37.09,37.09,37.08,37.08,-0.29,-0.78%,20,746,0
24,107/04/23,0,1,0,0,0 9,0,0 4,0.00%,-,0,37.37,37.37,37.37,37.37,-1.05,-2.73%,2,75,0
25,107/04/23,0,1,0,0,0 0,0,0 4,0.00%,-,0,37.37,37.37,37.37,37.37,-1.05,-2.73%,2,75,0
28,107/04/19,0,2,0,0,0 1,0,0 6,0.00%,-,0,37.84,38.42,37.84,38.42,0.06,0.16%,82,3127,0
29,107/04/19,0,2,0,0,0 4,0,0 10,0.00%,-,0,37.84,38.42,37.84,38.42,0.06,0.16%,82,3127,0
32,107/04/17,0,-1,0,0,0 6,0,0 6,0.00%,-,0,38.36,38.36,38.36,38.36,-0.04,-0.10%,1,38,0
33,107/04/17,0,-1,0,0,0 9,0,0 4,0.00%,-,0,38.36,38.36,38.36,38.36,-0.04,-0.10%,1,38,0
36,107/04/16,0,1,0,0,0 3,0,0 3,0.00%,-,0,38.4,38.4,38.4,38.4,-0.35,-0.90%,1,38,0
37,107/04/16,0,1,0,0,0 5,0,0 8,0.00%,-,0,38.4,38.4,38.4,38.4,-0.35,-0.90%,1,38,0
40,107/04/13,0,-1,0,0,0 8,0,0 8,0.00%,-,0,38.75,38.75,38.75,38.75,-0.08,-0.21%,1,39,0
41,107/04/13,0,-1,0,0,0 1,0,0 6,0.00%,-,0,38.75,38.75,38.75,38.75,-0.08,-0.21%,1,39,0
44,107/04/11,0,-4,0,0,0 9,0,0 2,0.00%,-,0,38.85,38.85,38.83,38.83,0.24,0.62%,4,155,0
45,107/04/11,0,-4,0,0,0 6,0,0 6,0.00%,-,0,38.85,38.85,38.83,38.83,0.24,0.62%,4,155,0
48,107/04/10,0,-1,0,0,0 7,0,0 10,0.00%,-,0,38.59,38.59,38.59,38.59,0.37,0.97%,1,39,0
49,107/04/10,0,-1,0,0,0 3,0,0 3,0.00%,-,0,38.59,38.59,38.59,38.59,0.37,0.97%,1,39,0
52,107/04/09,0,2,0,0,0 2,0,0 5,0.00%,-,0,38.16,38.22,38.16,38.22,0.12,0.31%,2,76,0
53,107/04/09,0,2,0,0,0 8,0,0 8,0.00%,-,0,38.16,38.22,38.16,38.22,0.12,0.31%,2,76,0
56,107/04/03,0,-3,0,0,0 6,0,0 10,0.00%,-,0,38.1,38.16,38.1,38.1,-0.5,-1.30%,3,114,0
57,107/04/02,0,-1,0,0,0 9,0,0 2,0.00%,-,0,38.6,38.6,38.6,38.6,0.1,0.26%,1,39,0
58,107/03/31,0,2,0,0,0 7,0,0 5,0.00%,-,0,38.48,38.5,38.48,38.5,-0.28,-0.72%,2,77,0
59,107/03/27,0,0,0,0,0 8,0,0 7,0.00%,-,0,38.84,38.84,38.78,38.78,0.69,1.81%,2,78,0
60,107/03/26,0,3,0,0,0 0,0,0 4,0.00%,-,0,38.07,38.09,38.07,38.09,-1.11,-2.83%,3,114,0
61,107/03/22,0,1,0,0,0 4,0,0 10,0.00%,-,0,39.2,39.2,39.2,39.2,0.1,0.26%,1,39,0
62,107/03/21,0,-12,0,0,0 9,0,0 1,0.00%,-,0,39.26,39.26,39.1,39.1,0.22,0.57%,12,471,0
63,107/03/19,0,1,0,0,0 5,0,0 8,0.00%,-,0,38.88,38.88,38.88,38.88,0.11,0.28%,2,78,0
64,107/03/16,0,-1,0,0,0 1,0,0 6,0.00%,-,0,38.94,38.94,38.77,38.77,-0.38,-0.97%,21,818,0
65,107/03/15,0,0,0,0,0 5,0,0 3,0.00%,-,0,39.15,39.15,39.15,39.15,-0.03,-0.08%,1,39,0
66,107/03/14,0,1,0,0,0 6,0,0 6,0.00%,-,0,39.18,39.18,39.18,39.18,-0.18,-0.46%,1,40,0
67,107/03/13,0,-2,0,0,0 3,0,0 3,0.00%,-,0,39.26,39.36,39.26,39.36,0.29,0.74%,2,79,0
68,107/03/12,0,4,0,0,0 8,0,0 8,0.00%,-,0,38.88,39.07,38.86,39.07,0.58,1.51%,5,195,0
69,107/03/09,0,-1,0,0,0 6,0,0 10,0.00%,-,0,38.49,38.49,38.49,38.49,0.22,0.57%,1,38,0
70,107/03/08,0,4,0,0,0 9,0,0 2,0.00%,-,0,38.27,38.27,38.27,38.27,0.29,0.76%,4,153,0
71,107/03/07,0,1,0,0,0 7,0,0 10,0.00%,-,0,37.98,37.98,37.98,37.98,0.0,0.00%,1,38,0
72,107/03/06,0,-1,0,0,0 2,0,0 5,0.00%,-,0,37.98,37.98,37.98,37.98,0.33,0.88%,1,38,0
73,107/03/05,0,-1,0,0,0 1,0,0 10,0.00%,-,0,37.66,37.66,37.65,37.65,-0.76,-1.98%,2,75,0
74,107/02/27,0,-1,0,0,0 7,0,0 5,0.00%,-,0,38.41,38.41,38.41,38.41,0.28,0.73%,1,38,0
75,107/02/26,0,3,0,0,0 6,0,0 3,0.00%,-,0,38.1,38.15,38.1,38.13,0.36,0.95%,23,877,0
76,107/02/23,0,1,0,0,0 3,0,0 8,0.00%,-,0,37.77,37.77,37.77,37.77,0.16,0.43%,1,43,0
77,107/02/22,0,0,0,0,0 0,0,0 8,0.00%,-,0,37.33,37.61,37.33,37.61,-0.23,-0.61%,2,75,0
78,107/02/21,0,-1,0,0,0 8,0,0 7,0.00%,-,0,37.84,37.84,37.84,37.84,1.12,3.05%,1,38,0
79,107/02/12,0,1,0,0,0 0,0,0 4,0.00%,-,0,36.91,36.91,36.72,36.72,0.21,0.58%,3,110,0
80,107/02/09,0,-1,0,0,0 9,0,0 8,0.00%,-,0,36.11,36.51,36.11,36.51,-0.58,-1.56%,4,145,0
81,107/02/08,0,2,0,0,0 4,0,0 10,0.00%,-,0,37.3,37.3,37.09,37.09,-0.14,-0.38%,4,149,0
