,日期,自營商,投信,外資,資餘,資增減,券餘,券增減,使用率,券資比,資券抵,開盤價,最高價,最低價,收盤價,漲跌,漲%,成交量,成交金額,本益比
0,107/05/11,700,1134,12666,1602,-619 7,478,22 5,1.04%,29.84%,2,81.1,81.7,81.05,81.6,0.95,1.18%,17654,1436892,0
1,107/05/10,0,3381,-26,2221,-57 6,456,1 3,1.45%,20.53%,0,80.7,80.7,80.45,80.65,0.2,0.25%,5977,481662,0
2,107/05/09,1300,1119,-130,2278,-108 3,455,7 8,1.48%,19.97%,0,80.0,80.55,80.0,80.45,0.45,0.56%,3359,270071,0
3,107/05/08,0,2302,-754,2386,-206 0,448,13 8,1.55%,18.78%,1,79.4,80.05,79.35,80.0,0.5,0.63%,5352,427504,0
4,107/05/07,-56,582,-1350,2592,-223 8,435,9 7,1.69%,16.78%,0,79.5,79.55,78.8,79.5,0.55,0.70%,3858,305849,0
5,107/05/04,0,-761,-1224,2815,5 0,426,-5 4,1.84%,15.13%,0,78.55,79.0,78.4,78.95,0.4,0.51%,3475,273249,0
6,107/05/03,6,-87,-6255,2810,112 9,431,-22 8,1.84%,15.34%,3,79.05,79.05,78.35,78.55,-0.85,-1.07%,8823,694073,0
7,107/05/02,400,-94,-3931,2698,17 4,453,36 10,1.80%,16.79%,1,80.05,80.15,79.4,79.4,-0.6,-0.75%,5513,439622,0
8,107/04/30,0,49,-1786,2681,-79 9,417,-2 1,1.84%,15.55%,4,79.65,80.15,79.05,80.0,0.8,1.01%,6517,519421,0
9,107/04/30,0,49,-1786,2681,-79 7,417,-2 5,1.84%,15.55%,4,79.65,80.15,79.05,80.0,0.8,1.01%,6517,519421,0
12,107/04/27,0,-1444,-8452,2760,480 9,419,142 4,1.90%,15.18%,0,79.6,79.65,78.8,79.2,0.15,0.19%,12396,979828,0
13,107/04/27,0,-1444,-8452,2760,480 6,419,142 3,1.90%,15.18%,0,79.6,79.65,78.8,79.2,0.15,0.19%,12396,979828,0
16,107/04/26,0,-3560,-10212,2280,356 5,277,23 8,1.68%,12.15%,4,79.7,79.7,78.8,79.05,-0.25,-0.32%,16486,1305125,0
17,107/04/26,0,-3560,-10212,2280,356 3,277,23 8,1.68%,12.15%,4,79.7,79.7,78.8,79.05,-0.25,-0.32%,16486,1305125,0
20,107/04/25,0,-4328,-10118,1924,204 1,254,-9 6,1.43%,13.20%,1,79.25,79.3,78.8,79.3,-0.25,-0.31%,16461,1301833,0
21,107/04/25,0,-4328,-10118,1924,204 0,254,-9 8,1.43%,13.20%,1,79.25,79.3,78.8,79.3,-0.25,-0.31%,16461,1301833,0
24,107/04/24,-1170,-2045,-9632,1720,215 5,263,-16 3,1.33%,15.29%,0,79.9,79.95,79.05,79.55,-0.4,-0.50%,16868,1341876,0
25,107/04/24,-1170,-2045,-9632,1720,215 8,263,-16 7,1.33%,15.29%,0,79.9,79.95,79.05,79.55,-0.4,-0.50%,16868,1341876,0
28,107/04/23,-1050,-3092,-5185,1505,238 6,279,22 6,1.16%,18.54%,0,80.25,80.45,79.9,79.95,-0.8,-0.99%,10625,850770,0
29,107/04/23,-1050,-3092,-5185,1505,238 0,279,22 4,1.16%,18.54%,0,80.25,80.45,79.9,79.95,-0.8,-0.99%,10625,850770,0
32,107/04/20,-450,-7070,153,1267,280 3,257,-15 3,0.99%,20.28%,0,81.0,81.1,80.5,80.75,-1.9,-2.30%,9018,728326,0
33,107/04/20,-450,-7070,153,1267,280 9,257,-15 8,0.99%,20.28%,0,81.0,81.1,80.5,80.75,-1.9,-2.30%,9018,728326,0
36,107/04/19,0,3507,-184,987,-125 8,272,-25 8,0.77%,27.56%,0,81.9,82.65,81.9,82.65,1.05,1.29%,4461,367817,0
37,107/04/19,0,3507,-184,987,-125 4,272,-25 10,0.77%,27.56%,0,81.9,82.65,81.9,82.65,1.05,1.29%,4461,367817,0
40,107/04/18,0,875,-976,1112,41 6,297,-7 10,0.87%,26.71%,0,81.6,82.1,81.35,81.6,0.2,0.25%,3740,305624,0
41,107/04/18,0,875,-976,1112,41 9,297,-7 1,0.87%,26.71%,0,81.6,82.1,81.35,81.6,0.2,0.25%,3740,305624,0
44,107/04/17,-75,-1700,-1330,1071,34 9,304,-10 2,0.84%,28.38%,0,82.4,82.4,81.35,81.4,-0.9,-1.09%,4325,352876,0
45,107/04/17,-75,-1700,-1330,1071,34 9,304,-10 4,0.84%,28.38%,0,82.4,82.4,81.35,81.4,-0.9,-1.09%,4325,352876,0
48,107/04/16,0,428,-124,1037,8 7,314,22 10,0.81%,30.28%,0,82.65,82.65,82.0,82.3,-0.2,-0.24%,1809,148796,0
49,107/04/16,0,428,-124,1037,8 5,314,22 8,0.81%,30.28%,0,82.65,82.65,82.0,82.3,-0.2,-0.24%,1809,148796,0
52,107/04/13,0,2258,-1463,1029,12 2,292,0 5,0.80%,28.38%,1,82.7,82.8,82.3,82.5,0.0,0.00%,2983,246304,0
53,107/04/13,0,2258,-1463,1029,12 1,292,0 6,0.80%,28.38%,1,82.7,82.8,82.3,82.5,0.0,0.00%,2983,246304,0
56,107/04/12,1530,-506,-1676,1017,-19 5,292,0 3,0.80%,28.71%,0,83.05,83.15,82.25,82.5,-0.35,-0.42%,3592,296423,0
57,107/04/11,940,167,-409,1036,-46 6,292,1 6,0.81%,28.19%,0,82.9,83.1,82.75,82.85,0.35,0.42%,2604,215930,0
58,107/04/10,0,2030,-44,1082,8 3,291,-2 3,0.85%,26.89%,0,82.1,82.85,81.75,82.5,0.3,0.36%,3860,318719,0
59,107/04/09,0,2237,-1288,1074,-70 8,293,35 8,0.83%,27.28%,0,82.15,82.3,81.6,82.2,0.7,0.86%,3401,278923,0
60,107/04/03,0,-1273,-3766,1144,160 6,258,4 10,0.89%,22.55%,0,81.5,81.55,81.2,81.5,-0.75,-0.91%,6188,503436,0
61,107/04/02,0,-82,-1362,984,40 9,254,2 2,0.77%,25.81%,0,82.85,82.95,82.15,82.25,-0.7,-0.84%,3737,307814,0
62,107/03/31,78,-53,83,944,27 7,252,-1 5,0.73%,26.69%,0,82.85,83.05,82.75,82.95,0.1,0.12%,878,72801,0
63,107/03/30,0,-752,2627,917,-54 6,253,0 3,0.71%,27.59%,0,82.65,83.05,82.65,82.85,0.75,0.91%,4973,412328,0
64,107/03/29,122,-1292,-2161,971,11 3,253,0 8,0.75%,26.06%,0,82.25,82.35,81.8,82.1,-0.15,-0.18%,4100,336214,0
65,107/03/28,0,-3243,339,960,15 0,253,-6 8,0.75%,26.35%,0,82.9,82.9,82.2,82.25,-1.15,-1.38%,4161,343128,0
66,107/03/27,0,143,1212,945,-46 8,259,6 7,0.73%,27.41%,0,83.0,83.4,82.95,83.4,1.2,1.46%,3278,272572,0
67,107/03/26,0,-1378,-1869,991,-4 0,253,-1 4,0.77%,25.53%,0,81.85,82.2,81.6,82.2,0.1,0.12%,4369,357832,0
68,107/03/23,0,-5475,-509,995,45 9,254,-3 8,0.77%,25.53%,6,81.85,82.4,81.8,82.1,-1.45,-1.74%,8060,661353,0
69,107/03/22,0,-146,1285,950,-1 4,257,0 10,0.74%,27.05%,4,84.0,84.6,83.45,83.55,-0.3,-0.36%,3430,288140,0
