,日期,自營商,投信,外資,資餘,資增減,券餘,券增減,使用率,券資比,資券抵,開盤價,最高價,最低價,收盤價,漲跌,漲%,成交量,成交金額,本益比
0,107/05/07,0,24,0,29,0 7,2,0 5,0.33%,6.90%,0,17.18,17.18,17.03,17.1,0.09,0.53%,113,1930,0
1,107/05/04,0,3,0,29,0 6,2,0 3,0.33%,6.90%,0,17.14,17.14,17.0,17.01,-0.07,-0.41%,22,375,0
2,107/05/03,0,28,0,29,0 3,2,0 8,0.33%,6.90%,0,17.15,17.17,17.08,17.08,-0.07,-0.41%,90,1545,0
3,107/05/02,0,58,0,29,0 0,2,0 8,0.33%,6.90%,0,17.2,17.2,17.15,17.15,-0.05,-0.29%,76,1304,0
4,107/04/30,0,114,0,29,-5 8,2,0 7,0.33%,6.90%,0,17.09,17.2,17.09,17.2,0.16,0.94%,144,2469,0
5,107/04/30,0,114,0,29,-5 7,2,0 5,0.33%,6.90%,0,17.09,17.2,17.09,17.2,0.16,0.94%,144,2469,0
8,107/04/27,0,80,0,34,0 0,2,0 4,0.39%,5.88%,0,17.02,17.04,17.0,17.04,0.08,0.47%,88,1498,0
9,107/04/27,0,80,0,34,0 6,2,0 3,0.39%,5.88%,0,17.02,17.04,17.0,17.04,0.08,0.47%,88,1498,0
12,107/04/26,0,21,0,34,0 9,2,0 8,0.39%,5.88%,0,16.99,16.99,16.94,16.96,0.02,0.12%,26,441,0
13,107/04/26,0,21,0,34,0 3,2,0 8,0.39%,5.88%,0,16.99,16.99,16.94,16.96,0.02,0.12%,26,441,0
16,107/04/25,0,61,0,34,0 4,2,0 10,0.39%,5.88%,0,16.99,16.99,16.9,16.94,-0.05,-0.29%,69,1168,0
17,107/04/25,0,61,0,34,0 0,2,0 8,0.39%,5.88%,0,16.99,16.99,16.9,16.94,-0.05,-0.29%,69,1168,0
20,107/04/24,0,86,0,34,0 9,2,0 1,0.39%,5.88%,0,17.03,17.03,16.95,16.99,-0.01,-0.06%,120,2043,0
21,107/04/24,0,86,0,34,0 8,2,0 7,0.39%,5.88%,0,17.03,17.03,16.95,16.99,-0.01,-0.06%,120,2043,0
24,107/04/23,0,57,0,34,0 9,2,0 4,0.39%,5.88%,0,16.96,17.0,16.95,17.0,0.05,0.29%,65,1104,0
25,107/04/23,0,57,0,34,0 0,2,0 4,0.39%,5.88%,0,16.96,17.0,16.95,17.0,0.05,0.29%,65,1104,0
28,107/04/20,0,60,0,34,0 5,2,0 8,0.39%,5.88%,0,16.9,16.95,16.88,16.95,0.02,0.12%,67,1135,0
29,107/04/20,0,60,0,34,0 9,2,0 8,0.39%,5.88%,0,16.9,16.95,16.88,16.95,0.02,0.12%,67,1135,0
32,107/04/19,0,67,0,34,0 1,2,0 6,0.39%,5.88%,0,16.82,16.93,16.82,16.93,0.17,1.01%,71,1190,0
33,107/04/19,0,67,0,34,0 4,2,0 10,0.39%,5.88%,0,16.82,16.93,16.82,16.93,0.17,1.01%,71,1190,0
36,107/04/18,0,12,0,34,0 5,2,0 3,0.39%,5.88%,0,16.85,16.85,16.75,16.76,0.04,0.24%,15,252,0
37,107/04/18,0,12,0,34,0 9,2,0 1,0.39%,5.88%,0,16.85,16.85,16.75,16.76,0.04,0.24%,15,252,0
40,107/04/17,0,8,0,34,0 6,2,0 6,0.39%,5.88%,0,16.92,16.92,16.71,16.72,-0.15,-0.89%,29,486,0
41,107/04/17,0,8,0,34,0 9,2,0 4,0.39%,5.88%,0,16.92,16.92,16.71,16.72,-0.15,-0.89%,29,486,0
44,107/04/16,0,37,0,34,0 3,2,0 3,0.39%,5.88%,0,16.93,16.93,16.87,16.87,-0.06,-0.35%,45,760,0
45,107/04/16,0,37,0,34,0 5,2,0 8,0.39%,5.88%,0,16.93,16.93,16.87,16.87,-0.06,-0.35%,45,760,0
48,107/04/13,0,7,0,34,0 8,2,0 8,0.39%,5.88%,0,17.01,17.01,16.92,16.93,-0.02,-0.12%,13,214,0
49,107/04/13,0,7,0,34,0 1,2,0 6,0.39%,5.88%,0,17.01,17.01,16.92,16.93,-0.02,-0.12%,13,214,0
52,107/04/12,0,24,0,34,-3 6,2,0 10,0.39%,5.88%,0,16.96,16.97,16.92,16.95,0.03,0.18%,29,491,0
53,107/04/12,0,24,0,34,-3 5,2,0 3,0.39%,5.88%,0,16.96,16.97,16.92,16.95,0.03,0.18%,29,491,0
56,107/04/11,0,97,0,37,-48 9,2,0 2,0.42%,5.41%,0,16.95,16.97,16.9,16.92,0.04,0.24%,119,2016,0
