,日期,自營商,投信,外資,資餘,資增減,券餘,券增減,使用率,券資比,資券抵,開盤價,最高價,最低價,收盤價,漲跌,漲%,成交量,成交金額,本益比
152,106/11/24,0,76,0,7,0 8,0,0 7,0.17%,0.00%,0,14.76,14.85,14.75,14.78,0.01,0.07%,92,1362,0
153,106/11/23,0,41,0,7,0 0,0,0 4,0.17%,0.00%,0,15.0,15.0,14.75,14.77,-0.43,-2.83%,84,1242,0
154,106/11/22,0,270,0,7,0 9,0,0 8,0.17%,0.00%,0,15.15,15.33,15.15,15.2,0.05,0.33%,363,5537,0
155,106/11/21,0,335,0,7,-1 4,0,0 10,0.17%,0.00%,0,14.9,15.15,14.9,15.15,0.25,1.68%,363,5462,0
156,106/11/20,0,-3,0,8,1 9,0,0 1,0.19%,0.00%,0,15.0,15.0,14.9,14.9,-0.05,-0.33%,23,343,0
157,106/11/17,0,134,0,7,0 9,0,0 4,0.17%,0.00%,0,14.95,15.04,14.81,14.95,0.25,1.70%,220,3294,0
158,106/11/16,0,35,0,7,0 5,0,0 8,0.17%,0.00%,0,14.65,14.7,14.58,14.7,0.16,1.10%,41,600,0
159,106/11/15,0,43,0,7,0 1,0,0 6,0.17%,0.00%,0,14.2,14.55,14.2,14.54,0.0,0.00%,70,1017,0
160,106/11/14,0,113,0,7,0 5,0,0 3,0.16%,0.00%,0,14.47,14.58,14.47,14.54,0.06,0.41%,118,1717,0
161,106/11/13,0,36,0,7,0 6,0,0 6,0.16%,0.00%,0,14.57,14.64,14.48,14.48,0.0,0.00%,50,728,0
162,106/11/10,0,382,0,7,-1 3,0,0 3,0.16%,0.00%,0,14.28,14.48,14.28,14.48,0.04,0.28%,388,5547,0
163,106/11/09,0,213,0,8,0 8,0,0 8,0.18%,0.00%,0,14.51,14.79,14.44,14.44,-0.07,-0.48%,255,3742,0
164,106/11/08,0,30,0,8,0 6,0,0 10,0.18%,0.00%,0,14.47,14.51,14.43,14.51,0.14,0.97%,37,536,0
165,106/11/07,0,9,0,8,0 9,0,0 2,0.18%,0.00%,0,14.44,14.5,14.3,14.37,0.03,0.21%,71,1022,0
166,106/11/06,0,116,0,8,0 7,0,0 10,0.18%,0.00%,0,14.35,14.36,14.3,14.34,-0.08,-0.55%,119,1704,0
167,106/11/03,0,67,0,8,0 2,0,0 5,0.18%,0.00%,0,14.43,14.43,14.36,14.42,0.02,0.14%,72,1035,0
168,106/11/02,0,80,0,8,0 1,0,0 10,0.17%,0.00%,0,14.36,14.42,14.35,14.4,0.07,0.49%,99,1423,0
169,106/11/01,0,48,0,8,0 7,0,0 0,0.17%,0.00%,0,14.23,14.35,14.2,14.33,0.23,1.63%,61,870,0
170,106/10/31,0,45,0,8,0 7,0,0 5,0.17%,0.00%,0,13.92,14.12,13.92,14.1,0.32,2.32%,47,658,0
171,106/10/30,0,42,0,8,0 6,0,0 3,0.17%,0.00%,0,14.0,14.0,13.7,13.78,-0.19,-1.36%,161,2232,0
172,106/10/27,0,19,0,8,-2 3,0,0 8,0.17%,0.00%,5,14.32,14.35,13.96,13.97,-0.26,-1.83%,68,964,0
173,106/10/26,0,82,0,10,-13 0,0,0 8,0.22%,0.00%,0,14.2,14.23,14.19,14.23,0.01,0.07%,87,1237,0
174,106/10/25,0,79,0,23,1 8,0,0 7,0.50%,0.00%,0,14.31,14.36,14.22,14.22,-0.04,-0.28%,91,1300,0
175,106/10/24,0,33,0,22,1 0,0,0 4,0.48%,0.00%,0,14.16,14.26,14.15,14.26,0.1,0.71%,37,525,0
176,106/10/23,0,143,0,21,6 9,0,0 8,0.44%,0.00%,0,14.19,14.21,14.14,14.16,-0.02,-0.14%,151,2136,0
177,106/10/20,0,89,0,15,4 4,0,0 10,0.32%,0.00%,0,14.01,14.18,14.01,14.18,0.03,0.21%,99,1400,0
178,106/10/19,0,31,0,11,3 9,0,0 1,0.23%,0.00%,0,14.0,14.15,14.0,14.15,0.24,1.73%,39,550,0
179,106/10/18,0,34,0,8,-5 9,0,0 4,0.17%,0.00%,0,14.13,14.13,13.9,13.91,-0.14,-1.00%,48,669,0
180,106/10/17,0,121,0,13,0 5,0,0 8,0.27%,0.00%,0,14.08,14.09,13.99,14.05,-0.02,-0.14%,128,1795,0
181,106/10/16,0,89,0,13,-3 1,0,0 6,0.27%,0.00%,0,14.13,14.14,14.06,14.07,-0.03,-0.21%,95,1338,0
182,106/10/13,0,23,0,16,1 5,0,0 3,0.34%,0.00%,0,14.05,14.1,14.01,14.1,-0.01,-0.07%,34,477,0
183,106/10/12,0,77,0,15,0 6,0,0 6,0.31%,0.00%,0,13.95,14.11,13.95,14.11,0.31,2.25%,100,1402,0
184,106/10/11,0,131,0,15,1 3,0,0 3,0.31%,0.00%,0,13.86,13.9,13.79,13.8,-0.12,-0.86%,142,1967,0
185,106/10/05,0,13,0,15,1 6,0,0 10,0.31%,0.00%,0,13.92,13.92,13.9,13.92,0.04,0.29%,31,431,0
186,106/10/03,0,-2,0,14,0 9,0,0 2,0.29%,0.00%,0,13.76,13.88,13.76,13.88,0.18,1.31%,5,69,0
187,106/10/02,0,6,0,14,0 7,0,0 10,0.29%,0.00%,0,13.64,13.72,13.64,13.7,0.21,1.56%,6,82,0
188,106/09/30,0,91,0,14,0 7,0,0 5,0.29%,0.00%,0,13.52,13.53,13.49,13.49,0.13,0.97%,91,1229,0
189,106/09/29,0,9,0,14,-2 6,0,0 3,0.29%,0.00%,0,13.42,13.42,13.27,13.36,-0.13,-0.96%,25,334,0
190,106/09/28,0,0,0,16,0 3,0,0 8,0.33%,0.00%,0,13.55,13.55,13.45,13.49,-0.01,-0.07%,5,67,0
191,106/09/27,0,5,0,16,1 0,0,0 8,0.33%,0.00%,0,13.4,13.5,13.38,13.5,0.09,0.67%,15,201,0
192,106/09/26,0,58,0,15,1 8,0,0 7,0.31%,0.00%,0,13.5,13.7,13.41,13.41,-0.19,-1.40%,75,1014,0
193,106/09/25,0,5,0,14,1 0,0,0 4,0.29%,0.00%,0,13.5,13.61,13.3,13.6,-0.16,-1.16%,21,284,0
