,日期,自營商,投信,外資,資餘,資增減,券餘,券增減,使用率,券資比,資券抵,開盤價,最高價,最低價,收盤價,漲跌,漲%,成交量,成交金額,本益比
0,107/05/07,0,-11,0,0,0 7,0,0 5,0.00%,-,0,51.25,51.25,50.9,51.0,-0.15,-0.29%,20,1023,0
1,107/05/04,0,-5,0,0,0 6,0,0 3,0.00%,-,0,52.5,52.95,51.05,51.15,-1.75,-3.31%,23,1203,0
2,107/05/03,0,1,0,0,0 3,0,0 8,0.00%,-,0,52.7,52.9,52.7,52.9,-0.6,-1.12%,2,106,0
3,107/05/02,0,-12,0,0,0 0,0,0 8,0.00%,-,0,53.7,53.7,53.2,53.5,-0.1,-0.19%,21,1140,0
4,107/04/30,0,1,0,0,0 8,0,0 7,0.00%,-,0,53.2,53.75,53.2,53.6,0.4,0.75%,5,284,0
5,107/04/30,0,1,0,0,0 7,0,0 5,0.00%,-,0,53.2,53.75,53.2,53.6,0.4,0.75%,5,284,0
8,107/04/27,0,-1,0,0,0 0,0,0 4,0.00%,-,0,53.65,53.65,53.2,53.2,-0.45,-0.84%,4,213,0
9,107/04/27,0,-1,0,0,0 6,0,0 3,0.00%,-,0,53.65,53.65,53.2,53.2,-0.45,-0.84%,4,213,0
12,107/04/26,0,-12,0,0,0 9,0,0 8,0.00%,-,0,53.85,53.85,53.6,53.65,0.05,0.09%,12,645,0
13,107/04/26,0,-12,0,0,0 3,0,0 8,0.00%,-,0,53.85,53.85,53.6,53.65,0.05,0.09%,12,645,0
16,107/04/25,0,-5,0,0,0 4,0,0 10,0.00%,-,0,54.0,54.25,53.6,53.6,-0.9,-1.65%,7,380,0
17,107/04/25,0,-5,0,0,0 0,0,0 8,0.00%,-,0,54.0,54.25,53.6,53.6,-0.9,-1.65%,7,380,0
20,107/04/24,0,-2,0,0,0 9,0,0 1,0.00%,-,0,54.4,54.5,54.4,54.5,0.0,0.00%,3,172,0
21,107/04/24,0,-2,0,0,0 8,0,0 7,0.00%,-,0,54.4,54.5,54.4,54.5,0.0,0.00%,3,172,0
24,107/04/23,0,-3,-24,0,0 9,0,0 4,0.00%,-,0,54.8,54.8,54.5,54.5,-0.3,-0.55%,6,331,0
25,107/04/23,0,-3,-24,0,0 0,0,0 4,0.00%,-,0,54.8,54.8,54.5,54.5,-0.3,-0.55%,6,331,0
28,107/04/20,0,-3,-24,0,0 5,0,0 8,0.00%,-,0,54.8,55.0,54.8,54.8,-2.05,-3.61%,4,222,0
29,107/04/20,0,-3,-24,0,0 9,0,0 8,0.00%,-,0,54.8,55.0,54.8,54.8,-2.05,-3.61%,4,222,0
32,107/04/19,0,-1,0,0,0 1,0,0 6,0.00%,-,0,56.85,56.85,56.85,56.85,1.3,2.34%,1,58,0
33,107/04/19,0,-1,0,0,0 4,0,0 10,0.00%,-,0,56.85,56.85,56.85,56.85,1.3,2.34%,1,58,0
