,日期,自營商,投信,外資,資餘,資增減,券餘,券增減,使用率,券資比,資券抵,開盤價,最高價,最低價,收盤價,漲跌,漲%,成交量,成交金額,本益比
0,107/05/07,0,-64,0,25,0 7,0,0 5,0.42%,0.00%,0,46.37,46.58,46.29,46.58,0.68,1.48%,70,3261,0.0
1,107/05/04,0,0,0,25,0 6,0,0 3,0.42%,0.00%,0,45.9,46.13,45.9,45.9,-0.08,-0.17%,5,218,0.0
2,107/05/03,0,-1,0,25,0 3,0,0 8,0.42%,0.00%,0,45.98,45.98,45.98,45.98,-0.5,-1.08%,1,54,0.0
3,107/05/02,0,-1,0,25,0 0,0,0 8,0.42%,0.00%,0,46.5,46.5,46.48,46.48,-0.42,-0.90%,4,166,0.0
4,107/04/30,0,0,0,25,0 8,0,0 7,0.42%,0.00%,0,46.88,46.9,46.88,46.9,0.9,1.96%,2,97,0.0
5,107/04/30,0,0,0,25,0 7,0,0 5,0.42%,0.00%,0,46.88,46.9,46.88,46.9,0.9,1.96%,2,97,0.0
8,107/04/27,0,-3,0,25,0 0,0,0 4,0.42%,0.00%,0,46.15,46.15,45.9,46.0,-0.09,-0.20%,6,294,0.0
9,107/04/27,0,-3,0,25,0 6,0,0 3,0.42%,0.00%,0,46.15,46.15,45.9,46.0,-0.09,-0.20%,6,294,0.0
12,107/04/26,0,-59,0,25,0 9,0,0 8,0.42%,0.00%,0,46.36,46.36,46.09,46.09,-0.27,-0.58%,60,2762,0.0
13,107/04/26,0,-59,0,25,0 3,0,0 8,0.42%,0.00%,0,46.36,46.36,46.09,46.09,-0.27,-0.58%,60,2762,0.0
16,107/04/25,0,-7,0,25,0 4,0,0 10,0.42%,0.00%,0,46.22,46.36,46.1,46.36,-0.14,-0.30%,8,365,0.0
17,107/04/25,0,-7,0,25,0 0,0,0 8,0.42%,0.00%,0,46.22,46.36,46.1,46.36,-0.14,-0.30%,8,365,0.0
20,107/04/24,0,-13,0,25,0 9,0,0 1,0.42%,0.00%,0,46.7,46.7,46.34,46.5,-0.2,-0.43%,14,661,0.0
21,107/04/24,0,-13,0,25,0 8,0,0 7,0.42%,0.00%,0,46.7,46.7,46.34,46.5,-0.2,-0.43%,14,661,0.0
24,107/04/23,0,-13,0,25,0 9,0,0 4,0.42%,0.00%,0,46.86,46.91,46.55,46.7,-0.47,-1.00%,17,790,0.0
