,日期,自營商,投信,外資,資餘,資增減,券餘,券增減,使用率,券資比,資券抵,開盤價,最高價,最低價,收盤價,漲跌,漲%,成交量,成交金額,本益比
0,107/05/07,0,0,0,0,0 7,0,0 5,0.00%,-,0,45.44,45.44,45.44,45.44,0.22,0.49%,1,45,0.0
1,107/05/04,0,-1,0,0,0 6,0,0 3,0.00%,-,0,45.22,45.22,45.22,45.22,-0.02,-0.04%,1,45,0.0
2,107/05/03,0,-2,0,0,0 3,0,0 8,0.00%,-,0,45.53,45.53,45.23,45.24,-0.54,-1.18%,4,182,0.0
3,107/05/02,0,0,0,0,0 0,0,0 8,0.00%,-,0,45.61,45.78,45.61,45.78,0.33,0.73%,2,91,0.0
4,107/04/30,0,-1,0,0,0 8,0,0 7,0.00%,-,0,45.45,45.45,45.45,45.45,0.39,0.87%,1,45,0.0
5,107/04/30,0,-1,0,0,0 7,0,0 5,0.00%,-,0,45.45,45.45,45.45,45.45,0.39,0.87%,1,45,0.0
8,107/04/27,0,-3,0,0,0 0,0,0 4,0.00%,-,0,45.06,45.06,45.06,45.06,-0.4,-0.88%,3,135,0.0
9,107/04/27,0,-3,0,0,0 6,0,0 3,0.00%,-,0,45.06,45.06,45.06,45.06,-0.4,-0.88%,3,135,0.0
12,107/04/24,0,-2,0,0,0 9,0,0 1,0.00%,-,0,45.43,45.46,45.43,45.46,-0.64,-1.39%,2,91,0.0
13,107/04/24,0,-2,0,0,0 8,0,0 7,0.00%,-,0,45.43,45.46,45.43,45.46,-0.64,-1.39%,2,91,0.0
16,107/04/20,0,-1,0,0,0 5,0,0 8,0.00%,-,0,46.44,46.44,46.1,46.1,-0.06,-0.13%,22,1015,0.0
17,107/04/20,0,-1,0,0,0 9,0,0 8,0.00%,-,0,46.44,46.44,46.1,46.1,-0.06,-0.13%,22,1015,0.0
20,107/04/18,0,9,0,0,0 5,0,0 3,0.00%,-,0,46.32,46.32,46.16,46.16,-0.6,-1.28%,9,416,0.0
21,107/04/18,0,9,0,0,0 9,0,0 1,0.00%,-,0,46.32,46.32,46.16,46.16,-0.6,-1.28%,9,416,0.0
24,107/04/17,0,-2,0,0,0 6,0,0 6,0.00%,-,0,46.75,46.76,46.75,46.76,0.27,0.58%,2,94,0.0
25,107/04/17,0,-2,0,0,0 9,0,0 4,0.00%,-,0,46.75,46.76,46.75,46.76,0.27,0.58%,2,94,0.0
28,107/04/13,0,-1,0,0,0 8,0,0 8,0.00%,-,0,46.49,46.49,46.49,46.49,0.23,0.50%,1,46,0.0
29,107/04/13,0,-1,0,0,0 1,0,0 6,0.00%,-,0,46.49,46.49,46.49,46.49,0.23,0.50%,1,46,0.0
32,107/04/12,0,-1,0,0,0 6,0,0 10,0.00%,-,0,46.55,46.55,46.26,46.26,-0.38,-0.81%,2,93,0.0
33,107/04/12,0,-1,0,0,0 5,0,0 3,0.00%,-,0,46.55,46.55,46.26,46.26,-0.38,-0.81%,2,93,0.0
36,107/04/11,0,0,0,0,0 9,0,0 2,0.00%,-,0,46.64,46.64,46.64,46.64,0.66,1.44%,1,47,0.0
37,107/04/11,0,0,0,0,0 6,0,0 6,0.00%,-,0,46.64,46.64,46.64,46.64,0.66,1.44%,1,47,0.0
40,107/04/10,0,-2,0,0,0 7,0,0 10,0.00%,-,0,45.87,46.12,45.87,45.98,0.36,0.79%,4,184,0.0
41,107/04/10,0,-2,0,0,0 3,0,0 3,0.00%,-,0,45.87,46.12,45.87,45.98,0.36,0.79%,4,184,0.0
44,107/04/09,0,0,0,0,0 2,0,0 5,0.00%,-,0,45.69,45.69,45.62,45.62,0.05,0.11%,2,91,0.0
