,日期,自營商,投信,外資,資餘,資增減,券餘,券增減,使用率,券資比,資券抵,開盤價,最高價,最低價,收盤價,漲跌,漲%,成交量,成交金額,本益比
0,107/05/07,0,-1,0,0,0 7,0,0 5,0.00%,-,0,52.75,52.75,52.65,52.65,0.45,0.86%,2,105,0
1,107/05/04,0,4,0,0,0 6,0,0 3,0.00%,-,0,52.15,52.25,52.15,52.2,-0.2,-0.38%,4,209,0
2,107/05/03,0,0,0,0,0 3,0,0 8,0.00%,-,0,52.4,52.4,52.4,52.4,-0.35,-0.66%,1,52,0
3,107/05/02,0,-28,0,0,0 0,0,0 8,0.00%,-,0,53.0,53.05,52.75,52.75,0.2,0.38%,33,1748,0
4,107/04/30,0,1,0,0,0 8,0,0 7,0.00%,-,0,52.55,52.55,52.55,52.55,0.45,0.86%,1,53,0
5,107/04/30,0,1,0,0,0 7,0,0 5,0.00%,-,0,52.55,52.55,52.55,52.55,0.45,0.86%,1,53,0
8,107/04/26,0,-1,0,0,0 9,0,0 8,0.00%,-,0,52.1,52.1,52.1,52.1,-0.4,-0.76%,1,52,0
9,107/04/26,0,-1,0,0,0 3,0,0 8,0.00%,-,0,52.1,52.1,52.1,52.1,-0.4,-0.76%,1,52,0
12,107/04/24,0,2,0,0,0 9,0,0 1,0.00%,-,0,52.45,52.5,52.45,52.5,-0.8,-1.50%,2,107,0
13,107/04/24,0,2,0,0,0 8,0,0 7,0.00%,-,0,52.45,52.5,52.45,52.5,-0.8,-1.50%,2,107,0
16,107/04/23,0,-28,0,0,0 9,0,0 4,0.00%,-,0,53.45,53.45,53.3,53.3,-0.55,-1.02%,28,1494,0
17,107/04/23,0,-28,0,0,0 0,0,0 4,0.00%,-,0,53.45,53.45,53.3,53.3,-0.55,-1.02%,28,1494,0
20,107/04/18,0,1,0,0,0 5,0,0 3,0.00%,-,0,53.85,53.85,53.85,53.85,-0.65,-1.19%,1,54,0
21,107/04/18,0,1,0,0,0 9,0,0 1,0.00%,-,0,53.85,53.85,53.85,53.85,-0.65,-1.19%,1,54,0
24,107/04/11,0,-27,0,0,0 9,0,0 2,0.00%,-,0,54.65,54.65,54.5,54.5,0.5,0.93%,27,1473,0
25,107/04/11,0,-27,0,0,0 6,0,0 6,0.00%,-,0,54.65,54.65,54.5,54.5,0.5,0.93%,27,1473,0
28,107/04/09,0,-2,0,0,0 2,0,0 5,0.00%,-,0,53.7,54.0,53.7,54.0,-0.2,-0.37%,3,162,0
29,107/04/09,0,-2,0,0,0 8,0,0 8,0.00%,-,0,53.7,54.0,53.7,54.0,-0.2,-0.37%,3,162,0
32,107/04/02,0,-27,0,0,0 9,0,0 2,0.00%,-,0,54.35,54.35,54.2,54.2,0.15,0.28%,27,1466,0
33,107/03/31,0,-1,0,0,0 7,0,0 5,0.00%,-,0,54.3,54.3,54.05,54.05,0.0,0.00%,41,2216,0
34,107/03/28,0,1,0,0,0 0,0,0 8,0.00%,-,0,54.05,54.05,54.05,54.05,-0.85,-1.55%,1,54,0
35,107/03/21,0,-27,0,0,0 9,0,0 1,0.00%,-,0,54.95,54.95,54.8,54.9,0.4,0.73%,27,1482,0
36,107/03/20,0,1,0,0,0 9,0,0 4,0.00%,-,0,54.5,54.5,54.5,54.5,-0.1,-0.18%,1,55,0
37,107/03/19,0,1,0,0,0 5,0,0 8,0.00%,-,0,54.6,54.6,54.6,54.6,-0.35,-0.64%,1,55,0
38,107/03/14,0,0,0,0,0 6,0,0 6,0.00%,-,0,54.8,54.95,54.8,54.95,0.05,0.09%,2,110,0
39,107/03/13,0,1,0,0,0 3,0,0 3,0.00%,-,0,54.9,54.9,54.9,54.9,0.2,0.37%,1,55,0
40,107/03/12,0,-24,0,0,0 8,0,0 8,0.00%,-,0,54.55,54.7,54.55,54.7,0.7,1.30%,28,1529,0
41,107/03/09,0,-1,0,0,0 6,0,0 10,0.00%,-,0,54.0,54.0,54.0,54.0,0.3,0.56%,1,73,0
42,107/03/08,0,5,0,0,0 9,0,0 2,0.00%,-,0,53.7,53.7,53.7,53.7,0.1,0.19%,5,269,0
43,107/03/06,0,-2,0,0,0 2,0,0 5,0.00%,-,0,53.4,53.6,53.4,53.6,0.3,0.56%,2,107,0
44,107/03/01,0,-28,0,0,0 7,0,0 0,0.00%,-,0,53.55,53.7,53.4,53.7,-0.55,-1.01%,28,1509,0
45,107/02/27,0,-1,0,0,0 7,0,0 5,0.00%,-,0,54.25,54.25,54.25,54.25,0.3,0.56%,1,54,0
46,107/02/26,0,0,0,0,0 6,0,0 3,0.00%,-,0,53.85,53.95,53.85,53.95,0.9,1.70%,2,108,0
47,107/02/22,0,-2,0,0,0 0,0,0 8,0.00%,-,0,53.0,53.05,53.0,53.05,-0.05,-0.09%,2,106,0
48,107/02/21,0,-33,0,0,0 8,0,0 7,0.00%,-,0,53.0,53.2,52.8,53.1,1.0,1.92%,35,1855,0
49,107/02/12,0,-28,0,0,0 0,0,0 4,0.00%,-,0,52.05,52.1,51.95,52.1,1.2,2.36%,28,1457,0
50,107/02/09,0,1,0,0,0 9,0,0 8,0.00%,-,0,50.9,50.9,50.9,50.9,-1.2,-2.30%,1,51,0
51,107/02/08,0,2,0,0,0 4,0,0 10,0.00%,-,0,52.1,52.1,52.1,52.1,-0.6,-1.14%,2,104,0
52,107/02/07,0,1,0,0,0 9,0,0 1,0.00%,-,0,52.7,52.7,52.7,52.7,0.5,0.96%,2,89,0
53,107/02/06,0,-3,0,0,0 9,0,0 4,0.00%,-,0,53.1,53.1,52.2,52.2,-2.2,-4.04%,3,158,0
54,107/02/05,0,-1,0,0,0 5,0,0 8,0.00%,-,0,54.4,54.4,54.4,54.4,-0.85,-1.54%,1,56,0
