,日期,自營商,投信,外資,資餘,資增減,券餘,券增減,使用率,券資比,資券抵,開盤價,最高價,最低價,收盤價,漲跌,漲%,成交量,成交金額,本益比
0,107/05/07,0,5,0,0,0 7,0,0 5,0.00%,-,0,48.7,48.7,48.31,48.63,0.17,0.35%,10,485,0
1,107/05/04,0,-1,0,0,0 6,0,0 3,0.00%,-,0,48.52,48.52,48.46,48.46,-0.09,-0.19%,2,97,0
2,107/05/03,0,3,0,0,0 3,0,0 8,0.00%,-,0,48.61,48.61,48.31,48.55,-0.71,-1.44%,9,436,0
3,107/05/02,0,0,0,0,0 0,0,0 8,0.00%,-,0,49.05,49.34,49.05,49.26,-0.05,-0.10%,4,197,0
4,107/04/30,0,-1,0,0,0 8,0,0 7,0.00%,-,0,48.85,49.31,48.85,49.31,0.57,1.17%,2,98,0
5,107/04/30,0,-1,0,0,0 7,0,0 5,0.00%,-,0,48.85,49.31,48.85,49.31,0.57,1.17%,2,98,0
8,107/04/27,0,-3,0,0,0 0,0,0 4,0.00%,-,0,48.86,48.86,48.44,48.74,-0.17,-0.35%,6,292,0
9,107/04/27,0,-3,0,0,0 6,0,0 3,0.00%,-,0,48.86,48.86,48.44,48.74,-0.17,-0.35%,6,292,0
12,107/04/26,0,-2,0,0,0 9,0,0 8,0.00%,-,0,48.91,48.91,48.91,48.91,-0.03,-0.06%,2,98,0
13,107/04/26,0,-2,0,0,0 3,0,0 8,0.00%,-,0,48.91,48.91,48.91,48.91,-0.03,-0.06%,2,98,0
16,107/04/24,0,2,0,0,0 9,0,0 1,0.00%,-,0,49.26,49.26,48.75,48.94,-0.69,-1.39%,5,245,0
17,107/04/24,0,2,0,0,0 8,0,0 7,0.00%,-,0,49.26,49.26,48.75,48.94,-0.69,-1.39%,5,245,0
20,107/04/23,0,-3,0,0,0 9,0,0 4,0.00%,-,0,49.59,49.68,49.59,49.63,-1.52,-2.97%,3,149,0
